Municipio,Codigo,Gentilico,Prefeito_2021,Area,Populacao,DensidadeDemografica,Escolarizacao,IDHM,MortalidadeInfantil,ReceitasRealizadas,DespesasEmpenhadas,PIBpercapita
Recife,2611606,recifense,JOAO HENRIQUE DE ANDRADE LIMA CAMPOS,218.843,1661017,7039.64,97.1,0.772,11.5,4863813.57332,4359406.34804,33232.26
Riacho das Almas,2611705,riachense,DIOCL&Eacute;CIO ROSENDO DE LIMA FILHO,314.003,20744,61.02,93.4,0.570,3.23,52372.07858,49074.57391,9394.09
Ribeir&atilde;o,2611804,ribeir&atilde;oense,MARCELLO CAVALCANTI DE PETRIBU DE ALBUQUERQUE MARANHAO,289.733,47813,154.35,92.9,0.602,16.88,82797.04627,78496.23751,9786.27
Rio Formoso,2611903,rio-formosense,ISABEL CRISTINA ARAUJO HACKER,227.458,23719,97.39,89.5,0.613,12.23,60428.06973,53244.00166,11492.00
Sair&eacute;,2612000,saireense,GILDO PONTES DE ARRUDA,190.455,9600,59.36,97.7,0.585,-,27782.41166,28166.09398,13749.38
Salgadinho,2612109,salgadinense,JOSE SOARES DA FONSECA,87.217,11214,106.77,87.6,0.534,14.93,25270.5575,23794.1108,6563.78
Salgueiro,2612208,salgueirense,MARCONES LIB&Oacute;RIO DE S&Aacute;,1678.564,61561,33.57,96.7,0.669,11.52,123973.69438,112548.31356,16052.17
Salo&aacute;,2612307,saloaense,RIVALDO ALVES DE SOUZA JUNIOR,251.549,15880,60.73,97.4,0.559,10.58,41419.13746,44581.87821,8277.69
Sanhar&oacute;,2612406,sanharoense,CESAR AUGUSTO DE FREITAS,268.686,27308,81.71,93.2,0.603,28.07,45919.49208,43659.19379,8014.90
Santa Cruz,2612455,santacruzense,ELIANE MARIA DA SILVA SOARES,1245.983,15713,10.82,97.5,0.549,20,38314.62005,34281.28358,7884.29
Santa Cruz da Baixa Verde,2612471,santacruzense,JOSE IRLANDO DE SOUZA LIMA,114.932,12708,102.39,97.8,0.612,14.71,33046.6343,31848.76407,7789.42
Santa Cruz do Capibaribe,2612505,santa-cruzense,F&Aacute;BIO QUEIROZ ARAG&Atilde;O,335.309,111812,261.20,95.7,0.648,6.64,171093.0329,157045.0838,14680.05
Santa Filomena,2612554,filomense,PEDRO GILDEVAN COELHO MELO,1005.341,14645,13.30,97,0.533,15.23,38229.65699,31283.89338,6988.20
